random_text,degree,data_points,coeffs,nth_root,text_decimal,text_hexa,coeffs_min_text,constant_nth_root,bisection_initial,secant_initial,newton_initial,x_coords,y_coords
PNeUZ66apU,7,"[(0.06223063687206554, 0.04580546907455574), (0.7838534063216124, 0.3225875489649378), (0.9825051606796574, 0.9451242759267693), (0.8834386438382936, 0.496023861063145), (0.9406584624164244, 0.7892910640044306), (0.7698724976152945, 0.7488409695381049), (0.882304005122877, 0.7168853551370229), (0.35465067046296117, 0.25514389723541553)]","[-7322237.363109324, 35003269.528446004, -69122150.63266963, 72238292.27628344, -42327239.25815458, 13422787.8857201, -1972708.845593985, 79961.06468352771]",3.5,379235466508880700338261,0x504e65555a3636617055,"[-7322237.363109324, 35003269.528446004, -69122150.63266963, 72238292.27628344, -42327239.25815458, 13422787.8857201, -1972708.845593985, -3.792354665088807e+23]",25.16647840037919,"[-25, 25]","[25, 26]",25,"(0.06223063687206554, 0.04580546907455574)","(0.7838534063216124, 0.3225875489649378)"
aMpB7IrFfj,13,"[(0.483392970329828, 0.9363679663114686), (0.14846399820792266, 0.3065450927028569), (0.07980376587708549, 0.5094796787621896), (0.22495586602616802, 0.3919474672123874), (0.25577088223627287, 0.08103652836770714), (0.9387336178823313, 0.6284049078878929), (0.48834102635397036, 0.05663982545933366), (0.6398760115506521, 0.5624720349174229), (0.7869025905431013, 0.669119027445643), (0.3764352399281692, 0.3739518900648465), (0.7255399182049231, 0.15530725941827683), (0.35640184773480643, 0.10035443799164245), (0.4977064494438884, 0.7835692254910706), (0.6839044160905869, 0.44928064601050177)]","[-150979789475.80917, 935789081677.0339, -2613288568802.633, 4347311113272.8804, -4798420943355.488, 3703824084329.3623, -2052332675872.9553, 824442610247.1433, -239360008358.95685, 49420168910.52854, -7020425040.933442, 645893223.3057456, -34217536.93828707, 779438.0341287816]",4.333333333333333,459498037220700521391722,0x614d704237497246666a,"[-150979789475.80917, 935789081677.0339, -2613288568802.633, 4347311113272.8804, -4798420943355.488, 3703824084329.3623, -2052332675872.9553, 824442610247.1433, -239360008358.95685, 49420168910.52854, -7020425040.933442, 645893223.3057456, -34217536.93828707, -4.5949803722070055e+23]",22.88979516759359,"[-23, 23]","[22, 23]",23,"(0.483392970329828, 0.9363679663114686)","(0.14846399820792266, 0.3065450927028569)"
CFaqE2ZiMM,3,"[(0.08360775372242157, 0.049074124810421726), (0.5727724274763083, 0.29471680402271094), (0.10288642635066392, 0.6978635821407855), (0.0804394708502697, 0.8091037301080167)]","[-24894.981385859614, 18831.376790579634, -2826.58872146354, 119.287268158444]",1.5,317696847906802512776525,0x4346617145325a694d4d,"[-24894.981385859614, 18831.376790579634, -2826.58872146354, -3.1769684790680254e+23]",24.232379501959638,"[-24, 24]","[24, 25]",24,"(0.08360775372242157, 0.049074124810421726)","(0.5727724274763083, 0.29471680402271094)"
ykCXP1i85k,1,"[(0.7002721236734848, 0.3725905790457593), (0.8153455330107395, 0.6664648071676345)]","[2.553797874021397, -1.4157628816280354]",0.5,573384998759885633500523,0x796b435850316938356b,"[2.553797874021397, -5.733849987598856e+23]",-2.0043845369957185,"[2, -2]","[-3, -2]",-2,"(0.7002721236734848, 0.3725905790457593)","(0.8153455330107395, 0.6664648071676345)"
IjQ8iCcP4p,5,"[(0.354180717675287, 0.5291742353763109), (0.12556045839180807, 0.258465062379876), (0.5762542663294398, 0.9338847703788963), (0.4951849908415764, 0.07033792371835723), (0.8230115642688521, 0.635905468905437), (0.7081914337931358, 0.8732366884265722)]","[2622.879428597667, -6766.7662627072405, 6564.269571301376, -2934.318414699684, 584.8639387737622, -38.31058120903056]",2.5,346693960664751230956656,0x496a5138694363503470,"[2622.879428597667, -6766.7662627072405, 6564.269571301376, -2934.318414699684, 584.8639387737622, -3.4669396066475124e+23]",-4.29860457212964,"[4, -4]","[-5, -4]",-4,"(0.354180717675287, 0.5291742353763109)","(0.12556045839180807, 0.258465062379876)"
npAzP1ozcW,11,"[(0.7323669109474905, 0.8397147890871519), (0.49843987663059963, 0.4984089851087583), (0.6307360326759731, 0.1999163443149925), (0.020363963292564957, 0.8796978979081219), (0.5863648096040532, 0.8090626745734553), (0.07282098536635095, 0.2186077964314228), (0.20242669736446284, 0.7970648385258817), (0.7604402226346744, 0.6855936638587312), (0.4230779450406854, 0.9083766019282009), (0.2268659739795621, 0.937097095733726), (0.589756117914839, 0.01690031846686213), (0.7865116627004866, 0.40207233074259774)]","[-1801542928.6865797, 8905998911.028183, -19307419636.06142, 24095024299.088947, -19096882934.39848, 9999435858.094912, -3485623954.504909, 794707133.8209916, -113131628.74156483, 9178173.397649745, -353054.7892723584, 4214.5929031019095]",3.6666666666666665,521531066623649321214807,0x6e70417a50316f7a6357,"[-1801542928.6865797, 8905998911.028183, -19307419636.06142, 24095024299.088947, -19096882934.39848, 9999435858.094912, -3485623954.504909, 794707133.8209916, -113131628.74156483, 9178173.397649745, -353054.7892723584, -5.215310666236493e+23]",9.740241337552163,"[-10, 10]","[9, 10]",10,"(0.7323669109474905, 0.8397147890871519)","(0.49843987663059963, 0.4984089851087583)"
V31uUVaXub,11,"[(0.9766693994402886, 0.519000500678786), (0.8822798974241526, 0.7971078556727315), (0.36376849523123234, 0.6299297030097196), (0.11269401881317231, 0.748464240402422), (0.47348940130987816, 0.2969080141742181), (0.9502436044531163, 0.7413555154888184), (0.4603457678422129, 0.6083850425490336), (0.18500301615757886, 0.17901515830038428), (0.3833410249306304, 0.9406784259068289), (0.34890819368840287, 0.24752398968727163), (0.5279428889608238, 0.9395513764050832), (0.49951510514551045, 0.6086767207638311)]","[1061560323.2691364, -6037091404.173719, 15139089291.074654, -22073122451.71875, 20769035575.891815, -13225677434.631287, 5806825239.606813, -1753791963.4003985, 355893549.0526683, -45995571.9931003, 3384800.310989421, -106513.8302734366]",3.6666666666666665,407067865323058297861474,0x56333175555661587562,"[1061560323.2691364, -6037091404.173719, 15139089291.074654, -22073122451.71875, 20769035575.891815, -13225677434.631287, 5806825239.606813, -1753791963.4003985, 355893549.0526683, -45995571.9931003, 3384800.310989421, -4.070678653230583e+23]",-23.502319606381647,"[24, -24]","[-24, -23]",-24,"(0.9766693994402886, 0.519000500678786)","(0.8822798974241526, 0.7971078556727315)"
hSOCdCWDjm,9,"[(0.5669562389199715, 0.7071204193172668), (0.10891020130246143, 0.08679533743664603), (0.18205085931530585, 0.7449919094011123), (0.6086614604069153, 0.06101790797624318), (0.6736894815176678, 0.3486095695630863), (0.17210326514056706, 0.00022017976679489237), (0.03543901334607935, 0.7747066389205182), (0.26737033575909785, 0.08993029415418308), (0.35033086276566794, 0.09313398195553702), (0.6074251301724176, 0.6201665124341906)]","[49131937.21745509, -151613907.1871772, 197741598.16148037, -142191503.41862458, 61676873.54015507, -16582410.418384314, 2727557.2660503685, -259307.13062927924, 12474.151436663764, -214.0503292434121]",4.5,492662905495553820617325,0x68534f43644357446a6d,"[49131937.21745509, -151613907.1871772, 197741598.16148037, -142191503.41862458, 61676873.54015507, -16582410.418384314, 2727557.2660503685, -259307.13062927924, 12474.151436663764, -4.926629054955538e+23]",-3.2952807569115747,"[3, -3]","[-4, -3]",-3,"(0.5669562389199715, 0.7071204193172668)","(0.10891020130246143, 0.08679533743664603)"
OP7hUcamw0,5,"[(0.4606548451670093, 0.23472264525887354), (0.3784292112369887, 0.5280094797462775), (0.9313735404411807, 0.8107630838929745), (0.7355320958902531, 0.047319009799174916), (0.9253907954740431, 0.16321198326323694), (0.1485627010812659, 0.819438881017685)]","[2765.1361289043007, -7370.000084916994, 7350.945676821508, -3384.4706709562724, 703.5304099110152, -49.71379553055116]",2.5,374546684207553724643120,0x4f5037685563616d7730,"[2765.1361289043007, -7370.000084916994, 7350.945676821508, -3384.4706709562724, 703.5304099110152, -3.745466842075537e+23]",-4.770795145898499,"[5, -5]","[-5, -4]",-5,"(0.4606548451670093, 0.23472264525887354)","(0.3784292112369887, 0.5280094797462775)"
XX8h0LnMDR,13,"[(0.9511574801291123, 0.7097318671197809), (0.9879490223645483, 0.08576806374958945), (0.9063549055718919, 0.6409794367587263), (0.17103086303135007, 0.3864590390422592), (0.9638808112385467, 0.9710542713711262), (0.732760722003186, 0.31932081003696944), (0.5414844741402564, 0.6619550007362147), (0.2093364651780273, 0.463049864717087), (0.11515429374766961, 0.5620886591366845), (0.13563038298990282, 0.7460461698975532), (0.6045588621346827, 0.5537212424405832), (0.2496427215362883, 0.6728563679809813), (0.7060974441379742, 0.08828671987800718), (0.12214493175962848, 0.49198812361059385)]","[-140067313.0579781, 1014174786.7313008, -3291381308.192436, 6319457465.7831955, -7980210970.117571, 6971124278.292561, -4314833696.055061, 1907099165.815463, -599167834.3122292, 131639286.89112335, -19605983.70018021, 1872493.423412614, -102832.9519771816, 2457.4286160511747]",4.333333333333333,417195628522783747425362,0x58583868304c6e4d4452,"[-140067313.0579781, 1014174786.7313008, -3291381308.192436, 6319457465.7831955, -7980210970.117571, 6971124278.292561, -4314833696.055061, 1907099165.815463, -599167834.3122292, 131639286.89112335, -19605983.70018021, 1872493.423412614, -102832.9519771816, -4.171956285227838e+23]",6.059247213700116,"[-6, 6]","[6, 7]",6,"(0.9511574801291123, 0.7097318671197809)","(0.9879490223645483, 0.08576806374958945)"
vfdq0YmLDj,7,"[(0.18315645996031615, 0.4447840699823027), (0.5458719332923488, 0.4040381289883357), (0.11953477601840967, 0.6106366981262097), (0.5618068354396111, 0.48755820361522473), (0.12133321996231583, 0.16122472458958548), (0.1316568502732306, 0.06191705486409427), (0.6713948488771071, 0.9964577195268957), (0.17757891627395916, 0.5872505763039507)]","[-46610347.46917654, 111755790.4446798, -106869796.22667463, 52320517.41730592, -14098451.29275371, 2107541.2311137714, -163578.4405905179, 5136.500090137584]",3.5,559128050493373314516074,0x7666647130596d4c446a,"[-46610347.46917654, 111755790.4446798, -106869796.22667463, 52320517.41730592, -14098451.29275371, 2107541.2311137714, -163578.4405905179, -5.591280504933733e+23]",11.486577765769923,"[-11, 11]","[11, 12]",11,"(0.18315645996031615, 0.4447840699823027)","(0.5458719332923488, 0.4040381289883357)"
IXKGe1ZOlr,13,"[(0.494138316780937, 0.5251605839436801), (0.568855187950309, 0.7592932396818228), (0.6742233829227366, 0.1437789650979897), (0.2083989566237039, 0.6302091916923602), (0.31027477572510254, 0.2744824696311756), (0.7873550954517581, 0.987804880779399), (0.11355733820695735, 0.3935373340168997), (0.5390648717340211, 0.254998288471844), (0.9389720818527268, 0.03305075243404776), (0.8567601172322702, 0.19264161496218501), (0.7637205108083617, 0.15571694767068878), (0.41532157976304085, 0.5267753495505639), (0.5484405426587191, 0.17588830278173517), (0.7599001476766365, 0.35216835677699543)]","[40947571522.2902, -300777666826.2453, 1004031477889.4269, -2014426671405.4756, 2706637642446.071, -2567842564544.8926, 1766408230469.6353, -890053945969.7488, 327601970543.96716, -86694723330.68289, 15963203808.745644, -1925700014.9895759, 135373517.14309275, -4144257.8788201716]",4.333333333333333,346361491143509375151218,0x49584b4765315a4f6c72,"[40947571522.2902, -300777666826.2453, 1004031477889.4269, -2014426671405.4756, 2706637642446.071, -2567842564544.8926, 1766408230469.6353, -890053945969.7488, 327601970543.96716, -86694723330.68289, 15963203808.745644, -1925700014.9895759, 135373517.14309275, -3.463614911435094e+23]",-33.65914664534721,"[34, -34]","[-34, -33]",-34,"(0.494138316780937, 0.5251605839436801)","(0.568855187950309, 0.7592932396818228)"
cvJoR7eQIR,5,"[(0.02022572104345577, 0.727179634877087), (0.054891135271596836, 0.807755335313158), (0.4055371228991367, 0.4724074987793566), (0.548868326971862, 0.1833290418314053), (0.3998150819080123, 0.09716084714712947), (0.9466079087703004, 0.6933561338683756)]","[6357.123689573455, -12565.526695671162, 8088.339265338516, -1905.7853192044215, 111.96128063004222, -0.8225408394537945]",2.5,469696361200871701301586,0x63764a6f523765514952,"[6357.123689573455, -12565.526695671162, 8088.339265338516, -1905.7853192044215, 111.96128063004222, -4.696963612008717e+23]",-0.9248322975083045,"[1, -1]","[-1, 0]",-1,"(0.02022572104345577, 0.727179634877087)","(0.054891135271596836, 0.807755335313158)"
Re7zfOTcqO,3,"[(0.9991075661286971, 0.6251995284364149), (0.5059230199608193, 0.5560004017341059), (0.4774223568073547, 0.8626640640020832), (0.5208826411173368, 0.4343498154494032)]","[-82.7510796108511, 184.9443095147485, -132.59396290096038, 31.016203077945875]",1.5,389101170366865721225551,0x5265377a664f5463714f,"[-82.7510796108511, 184.9443095147485, -132.59396290096038, -3.891011703668657e+23]",9.871710735715096,"[-10, 10]","[9, 10]",10,"(0.9991075661286971, 0.6251995284364149)","(0.5059230199608193, 0.5560004017341059)"
5lrpBF6kgL,5,"[(0.8362259744817185, 0.023200740916919926), (0.47470372676618167, 0.9237538514721892), (0.7002399928278507, 0.47991140876738714), (0.3274426265453454, 0.6814470722493406), (0.6968873325910904, 0.5192604251958046), (0.49715916556488604, 0.24585152271499744)]","[16510.80392363715, -49370.270213290205, 57753.58751981789, -32955.71619580455, 9142.734441918557, -981.779759240912]",2.5,252285918115838871430988,0x356c72704246366b674c,"[16510.80392363715, -49370.270213290205, 57753.58751981789, -32955.71619580455, 9142.734441918557, -2.5228591811583886e+23]",-15.73278579537932,"[16, -16]","[-16, -15]",-16,"(0.8362259744817185, 0.023200740916919926)","(0.47470372676618167, 0.9237538514721892)"
AuK60BdcMG,13,"[(0.9958771055507323, 0.024911030991400684), (0.5392751688464272, 0.474777871727565), (0.002027487924621707, 0.2540741195051106), (0.20934561695762866, 0.058825848168767236), (0.9900665727662852, 0.01574304578956709), (0.9367113801807866, 0.8312481668432243), (0.5902851459913149, 0.3942973418972877), (0.08904936488050597, 0.30812305614323854), (0.10959924066784132, 0.9184086945979518), (0.02010997351015953, 0.5986818946878015), (0.9842672359447499, 0.6806327727839153), (0.39248173825130295, 0.42157969679958396), (0.9666155995166459, 0.0668213039173593), (0.4547362208347828, 0.22416713154613954)]","[386033997.10136354, -2435224953.7501383, 6744161617.498743, -10783677611.351423, 11016138898.160435, -7514883326.936502, 3475777328.58177, -1084438389.539184, 222808734.54652196, -28771515.239152655, 2154890.609896997, -80728.17975009528, 1061.3894612037634, -1.5835114004148259]",4.333333333333333,309117510015414253604167,0x41754b36304264634d47,"[386033997.10136354, -2435224953.7501383, 6744161617.498743, -10783677611.351423, 11016138898.160435, -7514883326.936502, 3475777328.58177, -1084438389.539184, 222808734.54652196, -28771515.239152655, 2154890.609896997, -80728.17975009528, 1061.3894612037634, -3.0911751001541425e+23]",-1.1119017902436215,"[1, -1]","[-2, -1]",-1,"(0.9958771055507323, 0.024911030991400684)","(0.5392751688464272, 0.474777871727565)"
uUONcmzIEp,11,"[(0.15367702820756124, 0.7559374770639101), (0.5899765635275808, 0.4411048450200725), (0.22583584038769966, 0.7145299135723209), (0.012804352514426243, 0.5430330704745135), (0.48730148796185535, 0.4941360955725578), (0.554357556260207, 0.6664499456791833), (0.38153227067923123, 0.42751885724864513), (0.026121037390565705, 0.7124426815188101), (0.3132832029019287, 0.6178373282157319), (0.235414114172264, 0.3273195390880197), (0.8783647692785794, 0.08489027292616402), (0.688765268646416, 0.2722964726279776)]","[110599960.71057205, -477511263.7957475, 894468424.5135404, -953988358.0674828, 638619617.7756163, -278659791.54350394, 79593699.67511323, -14519081.924931984, 1589924.0929070627, -91927.38178090658, 2127.5924038499734, -14.601426189420284]",3.6666666666666665,554090566356312835835248,0x75554f4e636d7a494570,"[110599960.71057205, -477511263.7957475, 894468424.5135404, -953988358.0674828, 638619617.7756163, -278659791.54350394, 79593699.67511323, -14519081.924931984, 1589924.0929070627, -91927.38178090658, 2127.5924038499734, -5.5409056635631286e+23]",-2.077601969834063,"[2, -2]","[-3, -2]",-2,"(0.15367702820756124, 0.7559374770639101)","(0.5899765635275808, 0.4411048450200725)"
iaMQ4dJfZn,9,"[(0.7795659436460493, 0.44563797897493707), (0.23097473256370293, 0.29857430988963707), (0.74981915443647, 0.6781559785995921), (0.46944779550758564, 0.8222782413209725), (0.3573552249526496, 0.19767513018134408), (0.6782084695030217, 0.49743745786623306), (0.5595508747405838, 0.8549899092696905), (0.2892404734417042, 0.6006136122963837), (0.34539311403662476, 0.1817193532960536), (0.4142145424088447, 0.00014217261559756889)]","[22759638.30364313, -101782209.39168298, 198513752.73504895, -221487548.75382033, 155713743.3061545, -71508035.70081338, 21444662.383638315, -4048956.133968237, 436667.6388060597, -20489.70604951001]",4.5,497643386168281957554798,0x69614d5134644a665a6e,"[22759638.30364313, -101782209.39168298, 198513752.73504895, -221487548.75382033, 155713743.3061545, -71508035.70081338, 21444662.383638315, -4048956.133968237, 436667.6388060597, -4.97643386168282e+23]",-9.080694199243316,"[9, -9]","[-10, -9]",-9,"(0.7795659436460493, 0.44563797897493707)","(0.23097473256370293, 0.29857430988963707)"
9Hsn8dOcju,5,"[(0.7096373645115917, 0.17412874348894503), (0.6465464376944189, 0.08883664173681438), (0.8904350240175855, 0.9171753336067056), (0.7990220206774176, 0.4166223324914464), (0.579503755363799, 0.3443424607999649), (0.505206856016442, 0.20674744129565947)]","[6070.735752451528, -21473.001457658054, 30127.280615965617, -20938.716333909197, 7202.932258827521, -980.2342022158941]",2.5,270511372744442144582261,0x3948736e38644f636a75,"[6070.735752451528, -21473.001457658054, 30127.280615965617, -20938.716333909197, 7202.932258827521, -2.7051137274444215e+23]",-15.722874240059834,"[16, -16]","[-16, -15]",-16,"(0.7096373645115917, 0.17412874348894503)","(0.6465464376944189, 0.08883664173681438)"
TiC0qAploq,7,"[(0.1596173653959576, 0.10839915832819691), (0.4197405326161828, 0.9264378129256391), (0.31106140277540095, 0.994263072170138), (0.37193182358579835, 0.6266593488705624), (0.7264734352984826, 0.5219492424061917), (0.9067175375269672, 0.7490153312911407), (0.35558188658876433, 0.6939791749793048), (0.08331538887343837, 0.8801827277940211)]","[43998.07387454962, -117895.50735954664, 120765.85852526923, -59731.69176845672, 14779.672313138642, -1655.127625815092, 52.60113255946246, 1.8706604822853725]",3.5,398620534182914997120881,0x546943307141706c6f71,"[43998.07387454962, -117895.50735954664, 120765.85852526923, -59731.69176845672, 14779.672313138642, -1655.127625815092, 52.60113255946246, -3.98620534182915e+23]",1.195949520721015,"[-1, 1]","[1, 2]",1,"(0.1596173653959576, 0.10839915832819691)","(0.4197405326161828, 0.9264378129256391)"
DDwwnuib2H,1,"[(0.8679318625758626, 0.6028719741044104), (0.47183274429315436, 0.8935973602844627)]","[-0.7339713035476956, 1.2399090546697955]",0.5,322383907902811424305736,0x444477776e7569623248,"[-0.7339713035476956, -3.223839079028114e+23]",1.537374463852146,"[-2, 2]","[1, 2]",2,"(0.8679318625758626, 0.6028719741044104)","(0.47183274429315436, 0.8935973602844627)"
ahUFXPmeJK,11,"[(0.3858983174833589, 0.47412984239989275), (0.3607588319321877, 0.881612317945341), (0.07700415617954293, 0.665034926317224), (0.4061228915553027, 0.5218610449938554), (0.5781971862537971, 0.2376228384796213), (0.542868925761028, 0.5164666549062428), (0.8926250018483081, 0.7892774566736681), (0.6706305265557424, 0.2812256775555497), (0.52815768968346, 0.3529159876707161), (0.8662199770694038, 0.15597805656364694), (0.6149717277331146, 0.3174761154736643), (0.5137913149123894, 0.758081215024101)]","[-14152724018.364473, 83597240292.33855, -220605471820.98578, 342876020305.9253, -348156252343.6085, 241934905913.94177, -117012664866.44304, 39194309773.655556, -8841291121.255995, 1262386200.7640562, -100137388.61825462, 3155956.6463846616]",3.6666666666666665,459994154917865428699723,0x6168554658506d654a4b,"[-14152724018.364473, 83597240292.33855, -220605471820.98578, 342876020305.9253, -348156252343.6085, 241934905913.94177, -117012664866.44304, 39194309773.655556, -8841291121.255995, 1262386200.7640562, -100137388.61825462, -4.599941549178654e+23]",59.22298326913683,"[-59, 59]","[59, 60]",59,"(0.3858983174833589, 0.47412984239989275)","(0.3607588319321877, 0.881612317945341)"
2TShmM4hbz,5,"[(0.047263723079776665, 0.12428038468394054), (0.057938007459250374, 0.6924139668660527), (0.3306127179285414, 0.8312811384503258), (0.5316950545286852, 0.17102148967710484), (0.4307132451275759, 0.18328917480850826), (0.060521704471425464, 0.22230870932862212)]","[368630.4995866629, -516109.00480330497, 253892.219747956, -50965.47599338557, 3589.350457554892, -79.98963605677005]",2.5,237673860819554948113018,0x325453686d4d3468627a,"[368630.4995866629, -516109.00480330497, 253892.219747956, -50965.47599338557, 3589.350457554892, -2.3767386081955494e+23]",-5.7705005708074255,"[6, -6]","[-6, -5]",-6,"(0.047263723079776665, 0.12428038468394054)","(0.057938007459250374, 0.6924139668660527)"
juwTjKmM2T,13,"[(0.31895000634057125, 0.8919188813541662), (0.9310303703274636, 0.023553673398690522), (0.6601412787113811, 0.2579016703407552), (0.15489542234045806, 0.10266939392683017), (0.5625313467192293, 0.13337591372585145), (0.6657359444619567, 0.5801654418702687), (0.6434805647744378, 0.3860906993386788), (0.8366596091160322, 0.38636606043000854), (0.18540550681521017, 0.673790434849096), (0.8442750189806926, 0.6739597008223509), (0.004247373935896692, 0.5246397157041914), (0.9853961286198597, 0.9741659446569841), (0.8567177283714709, 0.7745843500950603), (0.6941190959476465, 0.49387872632743834)]","[29456509789.96775, -226680168657.02475, 786464525477.2686, -1623928442727.4316, 2218101229435.621, -2106226464704.1626, 1421586503051.0854, -684819112999.0837, 232753593041.73642, -54191699956.5748, 8171800641.411559, -716461879.9834687, 28298107.887612127, -107875.84853527522]",4.333333333333333,502737714855267156177492,0x6a7577546a4b6d4d3254,"[29456509789.96775, -226680168657.02475, 786464525477.2686, -1623928442727.4316, 2218101229435.621, -2106226464704.1626, 1421586503051.0854, -684819112999.0837, 232753593041.73642, -54191699956.5748, 8171800641.411559, -716461879.9834687, 28298107.887612127, -5.0273771485526713e+23]",-14.502539328764843,"[15, -15]","[-15, -14]",-15,"(0.31895000634057125, 0.8919188813541662)","(0.9310303703274636, 0.023553673398690522)"
RJz16viBc5,13,"[(0.28603563906724416, 0.17583892085144182), (0.9442386777348646, 0.48304866161733395), (0.03887148160740728, 0.9097261607336269), (0.34564283170698695, 0.669125752911824), (0.7310876107557904, 0.002011801659705492), (0.45397779971973395, 0.08262574975023285), (0.08244775186216124, 0.20695271920851976), (0.9320922209630921, 0.6685582928613778), (0.11805175978513782, 0.5245599099694495), (0.9924480172804067, 0.7667445993215798), (0.1792639961739887, 0.8025398937357169), (0.7347151277410598, 0.9481673431655232), (0.37202505659483265, 0.2625877210764991), (0.12273243428520253, 0.27144705412578474)]","[-652686047.4555671, 4018982579.340538, -10945368540.908422, 17386524851.26716, -17894210245.984653, 12541069694.403494, -6125907260.571364, 2099575531.004593, -501632923.83631456, 81887011.3891876, -8796406.381004276, 582284.1620870321, -20980.69335685859, 304.36533837180855]",4.333333333333333,388607915535394100372277,0x524a7a31367669426335,"[-652686047.4555671, 4018982579.340538, -10945368540.908422, 17386524851.26716, -17894210245.984653, 12541069694.403494, -6125907260.571364, 2099575531.004593, -501632923.83631456, 81887011.3891876, -8796406.381004276, 582284.1620870321, -20980.69335685859, -3.886079155353941e+23]",3.7418915671551547,"[-4, 4]","[3, 4]",4,"(0.28603563906724416, 0.17583892085144182)","(0.9442386777348646, 0.48304866161733395)"
TJXrF06MEs,9,"[(0.8173567935436359, 0.31460375209973335), (0.2350153141252347, 0.6695711857371489), (0.3793223008281059, 0.5489483893794405), (0.7597484795367524, 0.761010197130163), (0.05225116629212656, 0.5044522581495928), (0.9501328406942893, 0.415672066849169), (0.8385475594612218, 0.00036817095475727424), (0.016910366407824173, 0.6365442254456508), (0.5748064955579899, 0.05991604192049316), (0.1578640403827759, 0.37907062211434994)]","[10292.917616345567, -41412.14721513244, 72018.82700945553, -70722.56020822583, 42367.87879133748, -15364.994619931393, 3110.453398301216, -289.7212609101505, 6.94844459658318, 0.5880505928438036]",4.5,398050216856100270851443,0x544a58724630364d4573,"[10292.917616345567, -41412.14721513244, 72018.82700945553, -70722.56020822583, 42367.87879133748, -15364.994619931393, 3110.453398301216, -289.7212609101505, 6.94844459658318, -3.980502168561003e+23]",0.8887074492204975,"[-1, 1]","[0, 1]",1,"(0.8173567935436359, 0.31460375209973335)","(0.2350153141252347, 0.6695711857371489)"
yNjir8K1Fc,11,"[(0.09080909200075449, 0.7193732576519097), (0.5106149809201052, 0.8440599550862674), (0.09644795000187134, 0.6164820546738257), (0.666097008038791, 0.5128920670592194), (0.5927228032489238, 0.22577079114331355), (0.184216261786589, 0.7540726844753797), (0.5821013050681515, 0.09977240352867978), (0.5919172995154077, 0.9233306662180345), (0.42436281359235917, 0.43846249027253925), (0.675342979957462, 0.12154595988365902), (0.9727919500815819, 0.4967949480720356), (0.1274449857500065, 0.1713209706576153)]","[59393688526.48905, -292399004741.08606, 629326070020.1964, -778512695634.9491, 611853463372.7533, -318720655354.6078, 111434022544.37952, -25934928802.65692, 3908717906.2580805, -361905798.85483474, 18538388.123353567, -399666.0877670333]",3.6666666666666665,572852858250403096118883,0x794e6a6972384b314663,"[59393688526.48905, -292399004741.08606, 629326070020.1964, -778512695634.9491, 611853463372.7533, -318720655354.6078, 111434022544.37952, -25934928802.65692, 3908717906.2580805, -361905798.85483474, 18538388.123353567, -5.728528582504031e+23]",-33.70820504835473,"[34, -34]","[-34, -33]",-34,"(0.09080909200075449, 0.7193732576519097)","(0.5106149809201052, 0.8440599550862674)"
WBhajxAZCM,9,"[(0.1505149343788441, 0.7349604016506777), (0.6431247163871259, 0.8584106786720476), (0.7817222329300382, 0.19702244206479735), (0.6313920902709066, 0.20586746797156363), (0.812173392683853, 0.35451522526160106), (0.18530990956241633, 0.00902649620721685), (0.22192597128387037, 0.3896332740611783), (0.06933704114324235, 0.2505274759020264), (0.815683653139637, 0.9340394776796329), (0.9374876930261541, 0.40977011269043306)]","[-5505952.789741644, 24184604.134052344, -44763478.01394386, 45382633.52881151, -27447686.403200313, 10132661.316236297, -2254306.5856521386, 289318.4079091452, -19318.918500845648, 505.3761401594193]",4.5,412070890528441374491469,0x574268616a78415a434d,"[-5505952.789741644, 24184604.134052344, -44763478.01394386, 45382633.52881151, -27447686.403200313, 10132661.316236297, -2254306.5856521386, 289318.4079091452, -19318.918500845648, -4.1207089052844135e+23]",3.9884419388210595,"[-4, 4]","[3, 4]",4,"(0.1505149343788441, 0.7349604016506777)","(0.6431247163871259, 0.8584106786720476)"
kJCLXkcndn,7,"[(0.22620985983640574, 0.3695433185915613), (0.9724069873354482, 0.14054686361597102), (0.9829634710707278, 0.4934191551721563), (0.27926327142718865, 0.3326166680364895), (0.19270612292681533, 0.012096822273461427), (0.40364225431477974, 0.8767056772332708), (0.0730677262157009, 0.1667578906367162), (0.6583524171222056, 0.09380024237402074)]","[-22046.757460659857, 78541.51661710578, -110829.5429534496, 79306.95712046219, -30725.81075397229, 6370.174926748136, -639.3300728948434, 22.816204930276307]",3.5,506663122076623568790638,0x6b4a434c586b636e646e,"[-22046.757460659857, 78541.51661710578, -110829.5429534496, 79306.95712046219, -30725.81075397229, 6370.174926748136, -639.3300728948434, -5.066631220766236e+23]",2.443821860871534,"[-2, 2]","[2, 3]",2,"(0.22620985983640574, 0.3695433185915613)","(0.9724069873354482, 0.14054686361597102)"
